11.11;47.41;14.02;71.55;22.44;33.52;31.95;60.52;19.81;5.52;11.05;3.41;4.22;56.94;10.44;
10.99;47.32;13.82;71.16;22.04;33.31;31.34;60.31;19.73;5.31;10.85;3.32;4.14;56.54;10.24;
10.99;47.32;13.82;71.16;22.04;33.31;31.34;60.31;19.73;5.31;10.85;3.32;4.14;56.54;10.24;
11.11;47.41;14.02;71.55;22.44;33.52;31.95;60.52;19.81;5.52;11.05;3.41;4.22;56.94;10.44;
11.11;47.41;14.02;71.55;22.44;33.52;31.95;60.52;19.81;5.52;11.05;3.41;4.22;56.94;10.44;
11.11;47.41;14.02;71.55;22.44;33.52;31.95;60.52;19.81;5.52;11.05;3.41;4.22;56.94;10.44;
10.99;47.32;13.82;71.16;22.04;33.31;31.34;60.31;19.73;5.31;10.85;3.32;4.14;56.54;10.24;
11.11;47.41;14.02;71.55;22.44;33.52;31.95;60.52;19.81;5.52;11.05;3.41;4.22;56.94;10.44;
11.11;47.41;14.02;71.55;22.44;33.52;31.95;60.52;19.81;5.52;11.05;3.41;4.22;56.94;10.44;
10.99;47.32;13.82;71.16;22.04;33.31;31.34;60.31;19.73;5.31;10.85;3.32;4.14;56.54;10.24;
11.11;47.41;14.02;71.55;22.44;33.52;31.95;60.52;19.81;5.52;11.05;3.41;4.22;56.94;10.44;
11.35;47.57;14.42;72.33;23.25;33.92;33.17;60.92;19.97;5.92;11.45;3.57;4.38;57.75;10.84;
11.11;47.41;14.02;71.55;22.44;33.52;31.95;60.52;19.81;5.52;11.05;3.41;4.22;56.94;10.44;
11.11;47.41;14.02;71.55;22.44;33.52;31.95;60.52;19.81;5.52;11.05;3.41;4.22;56.94;10.44;
11.11;47.41;14.02;71.55;22.44;33.52;31.95;60.52;19.81;5.52;11.05;3.41;4.22;56.94;10.44;
11.11;47.41;14.02;71.55;22.44;33.52;31.95;60.52;19.81;5.52;11.05;3.41;4.22;56.94;10.44;
11.11;47.41;14.02;71.55;22.44;33.52;31.95;60.52;19.81;5.52;11.05;3.41;4.22;56.94;10.44;
11.11;47.41;14.02;71.55;22.44;33.52;31.95;60.52;19.81;5.52;11.05;3.41;4.22;56.94;10.44;
11.11;47.41;14.02;71.55;22.44;33.52;31.95;60.52;19.81;5.52;11.05;3.41;4.22;56.94;10.44;
11.11;47.41;14.02;71.55;22.44;33.52;31.95;60.52;19.81;5.52;11.05;3.41;4.22;56.94;10.44;
11.11;47.41;14.02;71.55;22.44;33.52;31.95;60.52;19.81;5.52;11.05;3.41;4.22;56.94;10.44;
11.11;47.41;14.02;71.55;22.44;33.52;31.95;60.52;19.81;5.52;11.05;3.41;4.22;56.94;10.44;
